,t_new,Number of Visibilities,Average Amplitude of Visibilities
0,0.6,1394809200.0,4.7209241209788886e-05
1,5.0,164095200.0,3.7922208186685285e-05
2,1.5,546984000.0,4.378664140360587e-05
3,3.75,218793600.0,3.915200668345485e-05
4,1.25,656380800.0,4.4800314559486855e-05
5,0.1,8204760000.0,4.995582647799962e-05
6,2.0,410238000.0,4.222695659089666e-05
7,0.3,2762269200.0,4.901006769697673e-05
8,1.0,820476000.0,4.597294361085422e-05
9,0.4,2051190000.0,4.912363448648878e-05
10,15.0,54698400.0,3.291419331197406e-05
11,2.5,328190400.0,4.104821530311222e-05
12,7.5,109396800.0,3.613200618697097e-05
13,0.75,1093968000.0,4.7318119072068974e-05
14,3.0,273492000.0,4.0141814924890346e-05
15,0.2,4102380000.0,4.9781661310962896e-05
16,10.0,82047600.0,3.4863130319821254e-05
17,0.15,5497189200.0,4.9634593454814946e-05
18,0.5,1640952000.0,4.866830983602132e-05
19,30.0,27349200.0,2.8780907190163145e-05
20,0.25,3281904000.0,4.9653654774701114e-05
